id,sentence,ambiguous_word,correct_meaning,category,language,source
1,कल वह बाज़ार गया था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
2,कल मैंने एक अच्छी फिल्म देखी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
3,कल बहुत बारिश हुई थी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
4,कल उसने मुझे फोन किया था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
5,कल स्कूल में छुट्टी थी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
6,कल रात हम सब साथ खाना खाए।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
7,कल की मीटिंग बहुत अच्छी रही।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
8,कल मेरे दोस्त का जन्मदिन था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
9,कल बाज़ार बंद था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
10,कल उसने नई नौकरी शुरू की।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
11,कल परीक्षा के नतीजे आए।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
12,कल सड़क पर बहुत जाम था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
13,कल मैंने नई किताब पढ़ी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
14,कल बिजली नहीं थी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
15,कल मेरी माँ बीमार थीं।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
16,"कल परीक्षा है, पढ़ाई करो।",कल,tomorrow,time_ambiguity,Hindi,custom_annotated
17,कल हम दिल्ली जाएंगे।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
18,कल की तैयारी कर लो।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
19,कल मौसम अच्छा रहेगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
20,कल से नया काम शुरू होगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
21,कल दफ़्तर जल्दी जाना है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
22,कल मेरी डॉक्टर से अपॉइंटमेंट है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
23,कल बस जल्दी आएगी।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
24,कल की रिपोर्ट तैयार करो।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
25,कल मैं तुमसे मिलूंगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
26,कल शादी है घर में।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
27,कल सुबह जल्दी उठना होगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
28,कल बाज़ार से सब्ज़ी लानी है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
29,कल मेहमान आएंगे।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
30,कल का प्लान बना लो।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
31,परसों वह मुंबई से आया था।,परसों,day_before_yesterday,time_ambiguity,Hindi,custom_annotated
32,परसों हमने साथ खाना खाया था।,परसों,day_before_yesterday,time_ambiguity,Hindi,custom_annotated
33,परसों बहुत ठंड थी।,परसों,day_before_yesterday,time_ambiguity,Hindi,custom_annotated
34,परसों हम घूमने जाएंगे।,परसों,day_after_tomorrow,time_ambiguity,Hindi,custom_annotated
35,परसों तक रिपोर्ट जमा करो।,परसों,day_after_tomorrow,time_ambiguity,Hindi,custom_annotated
36,परसों उसकी वापसी होगी।,परसों,day_after_tomorrow,time_ambiguity,Hindi,custom_annotated
37,"अभी मत जाओ, बैठो।",अभी,right_now,time_ambiguity,Hindi,custom_annotated
38,अभी खाना तैयार है।,अभी,right_now,time_ambiguity,Hindi,custom_annotated
39,अभी वह सो रहा है।,अभी,right_now,time_ambiguity,Hindi,custom_annotated
40,वह अभी गया है।,अभी,just_now,time_ambiguity,Hindi,custom_annotated
41,अभी-अभी बारिश हुई है।,अभी,just_now,time_ambiguity,Hindi,custom_annotated
42,मुझे रात को जल्दी सोना है।,सोना,to_sleep,object_action_ambiguity,Hindi,custom_annotated
43,बच्चा सोना चाहता है।,सोना,to_sleep,object_action_ambiguity,Hindi,custom_annotated
44,वह सोना भूल गया।,सोना,to_sleep,object_action_ambiguity,Hindi,custom_annotated
45,देर रात तक सोना ठीक नहीं।,सोना,to_sleep,object_action_ambiguity,Hindi,custom_annotated
46,उसे अभी सोना है।,सोना,to_sleep,object_action_ambiguity,Hindi,custom_annotated
47,जल्दी सोना सेहत के लिए अच्छा है।,सोना,to_sleep,object_action_ambiguity,Hindi,custom_annotated
48,थकान में सोना ज़रूरी है।,सोना,to_sleep,object_action_ambiguity,Hindi,custom_annotated
49,गर्मी में सोना मुश्किल हो जाता है।,सोना,to_sleep,object_action_ambiguity,Hindi,custom_annotated
50,उसके पास बहुत सोना है।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
51,सोना आज महंगा हो गया।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
52,उसने सोने का हार पहना।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
53,बाज़ार में सोना बिक रहा है।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
54,सोने की कीमत बढ़ गई।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
55,उसने सोना खरीदा।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
56,दादी के पास पुराना सोना है।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
57,सोने में निवेश फ़ायदेमंद है।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
58,खाना बहुत स्वादिष्ट था।,खाना,food,object_action_ambiguity,Hindi,custom_annotated
59,खाना ठंडा हो गया।,खाना,food,object_action_ambiguity,Hindi,custom_annotated
60,खाना मेज़ पर रखा है।,खाना,food,object_action_ambiguity,Hindi,custom_annotated
61,घर का खाना सबसे अच्छा होता है।,खाना,food,object_action_ambiguity,Hindi,custom_annotated
62,खाना बर्बाद मत करो।,खाना,food,object_action_ambiguity,Hindi,custom_annotated
63,उसने खाना बनाया।,खाना,food,object_action_ambiguity,Hindi,custom_annotated
64,खाना परोसने में देर हो गई।,खाना,food,object_action_ambiguity,Hindi,custom_annotated
65,उसे अभी खाना है।,खाना,to_eat,object_action_ambiguity,Hindi,custom_annotated
66,बाहर खाना मत खाओ।,खाना,to_eat,object_action_ambiguity,Hindi,custom_annotated
67,जल्दी से खाना खा लो।,खाना,to_eat,object_action_ambiguity,Hindi,custom_annotated
68,वह दिन में तीन बार खाना खाता है।,खाना,to_eat,object_action_ambiguity,Hindi,custom_annotated
69,उसे पढ़ना बहुत पसंद है।,पढ़ना,to_read,object_action_ambiguity,Hindi,custom_annotated
70,किताब पढ़ना अच्छी आदत है।,पढ़ना,to_read,object_action_ambiguity,Hindi,custom_annotated
71,वह पढ़ना नहीं जानता।,पढ़ना,to_read,object_action_ambiguity,Hindi,custom_annotated
72,पढ़ना शुरू करो।,पढ़ना,to_study,object_action_ambiguity,Hindi,custom_annotated
73,परीक्षा के लिए पढ़ना ज़रूरी है।,पढ़ना,to_study,object_action_ambiguity,Hindi,custom_annotated
74,रात भर पढ़ना ठीक नहीं।,पढ़ना,to_study,object_action_ambiguity,Hindi,custom_annotated
75,उसे लिखना आता है।,लिखना,to_write,object_action_ambiguity,Hindi,custom_annotated
76,कविता लिखना उसका शौक है।,लिखना,to_write,object_action_ambiguity,Hindi,custom_annotated
77,उत्तर लिखना मत भूलो।,लिखना,to_write,object_action_ambiguity,Hindi,custom_annotated
78,परीक्षा में लिखना तेज़ रखो।,लिखना,to_write_fast,object_action_ambiguity,Hindi,custom_annotated
79,बैंक में पैसे जमा कर दो।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
80,बैंक से लोन लेना होगा।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
81,बैंक का खाता बंद हो गया।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
82,बैंक की ब्याज दर बढ़ गई।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
83,बैंक में लंबी लाइन थी।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
84,बैंक का ATM बंद है।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
85,बैंक मैनेजर से मिलना है।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
86,नदी के बैंक पर बहुत शांति थी।,बैंक,river_bank,place_ambiguity,Hindi,custom_annotated
87,बैंक पर बैठकर मछली पकड़ रहे थे।,बैंक,river_bank,place_ambiguity,Hindi,custom_annotated
88,गंगा के बैंक पर मेला लगा था।,बैंक,river_bank,place_ambiguity,Hindi,custom_annotated
89,बैंक पर हरी घास थी।,बैंक,river_bank,place_ambiguity,Hindi,custom_annotated
90,बच्चे मैदान में खेल रहे हैं।,मैदान,playground,place_ambiguity,Hindi,custom_annotated
91,मैदान में घास उग आई।,मैदान,field,place_ambiguity,Hindi,custom_annotated
92,क्रिकेट का मैदान बड़ा था।,मैदान,sports_ground,place_ambiguity,Hindi,custom_annotated
93,उसके लिए यह बड़ा मैदान था।,मैदान,opportunity,place_ambiguity,Hindi,custom_annotated
94,राजनीति के मैदान में उतरना मुश्किल है।,मैदान,arena,place_ambiguity,Hindi,custom_annotated
95,चुनाव के मैदान में कई उम्मीदवार हैं।,मैदान,arena,place_ambiguity,Hindi,custom_annotated
96,उसका घर बहुत बड़ा है।,घर,house,place_ambiguity,Hindi,custom_annotated
97,घर में मेहमान आए हैं।,घर,house,place_ambiguity,Hindi,custom_annotated
98,घर की सफ़ाई करो।,घर,house,place_ambiguity,Hindi,custom_annotated
99,यह शहर मेरा घर है।,घर,home_emotional,place_ambiguity,Hindi,custom_annotated
100,दिल्ली मेरा दूसरा घर है।,घर,home_emotional,place_ambiguity,Hindi,custom_annotated
101,किताबें मेरा घर हैं।,घर,home_emotional,place_ambiguity,Hindi,custom_annotated
102,पानी पी लो।,पानी,water,place_ambiguity,Hindi,custom_annotated
103,पानी गर्म कर दो।,पानी,water,place_ambiguity,Hindi,custom_annotated
104,पानी की बोतल लाओ।,पानी,water,place_ambiguity,Hindi,custom_annotated
105,उसने अपनी इज़्ज़त पानी में मिला दी।,पानी,reputation_idiom,place_ambiguity,Hindi,custom_annotated
106,मेहनत पानी में चली गई।,पानी,wasted_idiom,place_ambiguity,Hindi,custom_annotated
107,"राम और श्याम आए, वो जीत गया।",वो,unclear_ram_or_shyam,pronoun_ambiguity,Hindi,custom_annotated
108,"सीता और गीता गईं, वह हँस रही थी।",वह,unclear_seeta_or_geeta,pronoun_ambiguity,Hindi,custom_annotated
109,"मोहन ने रोहन को मारा, वह रो पड़ा।",वह,unclear_mohan_or_rohan,pronoun_ambiguity,Hindi,custom_annotated
110,"अध्यापक ने छात्र को बुलाया, वह घबरा गया।",वह,unclear_teacher_or_student,pronoun_ambiguity,Hindi,custom_annotated
111,माँ ने बेटी को बताया कि वह थकी है।,वह,unclear_mother_or_daughter,pronoun_ambiguity,Hindi,custom_annotated
112,"कुत्ते ने बिल्ली को देखा, वह भाग गई।",वह,unclear_dog_or_cat,pronoun_ambiguity,Hindi,custom_annotated
113,नेता ने जनता से कहा कि वे खुश हैं।,वे,unclear_leader_or_people,pronoun_ambiguity,Hindi,custom_annotated
114,"रमेश और सुरेश दोस्त हैं, उसका घर बड़ा है।",उसका,unclear_ramesh_or_suresh,pronoun_ambiguity,Hindi,custom_annotated
115,"शिक्षक ने विद्यार्थी की किताब ली, उसने पढ़ी।",उसने,unclear_teacher_or_student,pronoun_ambiguity,Hindi,custom_annotated
116,"पिता ने पुत्र को समझाया, वह नहीं माना।",वह,unclear_father_or_son,pronoun_ambiguity,Hindi,custom_annotated
117,"सोनू और मोनू खेले, उसने गोल किया।",उसने,unclear_sonu_or_monu,pronoun_ambiguity,Hindi,custom_annotated
118,"डॉक्टर ने मरीज़ को देखा, वह ठीक हो गया।",वह,unclear_doctor_or_patient,pronoun_ambiguity,Hindi,custom_annotated
119,"प्रोफ़ेसर ने छात्र को पास किया, वह खुश हुआ।",वह,unclear_professor_or_student,pronoun_ambiguity,Hindi,custom_annotated
120,"अमित और सुमित बोले, उसने सच कहा।",उसने,unclear_amit_or_sumit,pronoun_ambiguity,Hindi,custom_annotated
121,"लड़के ने लड़की को देखा, वह मुस्कुराई।",वह,unclear_boy_or_girl,pronoun_ambiguity,Hindi,custom_annotated
122,माँ ने दादी को बताया कि वह बीमार है।,वह,unclear_mother_or_grandmother,pronoun_ambiguity,Hindi,custom_annotated
123,"राजा ने मंत्री को बुलाया, वह डर गया।",वह,unclear_king_or_minister,pronoun_ambiguity,Hindi,custom_annotated
124,"भाई ने बहन को पुकारा, वह नहीं आई।",वह,unclear_brother_or_sister,pronoun_ambiguity,Hindi,custom_annotated
125,"नौकर ने मालिक को जगाया, वह नाराज़ हुआ।",वह,unclear_servant_or_master,pronoun_ambiguity,Hindi,custom_annotated
126,"कोच ने खिलाड़ी को ट्रेनिंग दी, वह थक गया।",वह,unclear_coach_or_player,pronoun_ambiguity,Hindi,custom_annotated
127,उसने काला कोट पहना।,काला,black_color,morphological_ambiguity,Hindi,custom_annotated
128,काला रंग उसे पसंद है।,काला,black_color,morphological_ambiguity,Hindi,custom_annotated
129,आसमान काला हो गया।,काला,black_color,morphological_ambiguity,Hindi,custom_annotated
130,काला आज नहीं आया।,काला,person_name,morphological_ambiguity,Hindi,custom_annotated
131,काला बहुत होशियार है।,काला,person_name,morphological_ambiguity,Hindi,custom_annotated
132,हरा पेड़ सुंदर लगता है।,हरा,green_color,morphological_ambiguity,Hindi,custom_annotated
133,हरा रंग प्रकृति का प्रतीक है।,हरा,green_color,morphological_ambiguity,Hindi,custom_annotated
134,मैदान हरा-भरा था।,हरा,green_color,morphological_ambiguity,Hindi,custom_annotated
135,उसने प्रतिद्वंद्वी को हरा दिया।,हरा,to_defeat,morphological_ambiguity,Hindi,custom_annotated
136,टीम ने विरोधी को हरा दिया।,हरा,to_defeat,morphological_ambiguity,Hindi,custom_annotated
137,उसे हरा पाना मुश्किल है।,हरा,to_defeat,morphological_ambiguity,Hindi,custom_annotated
138,उसने पत्र लिखा।,पत्र,written_letter,morphological_ambiguity,Hindi,custom_annotated
139,पत्र डाक से भेजा।,पत्र,written_letter,morphological_ambiguity,Hindi,custom_annotated
140,पत्र में सब कुछ लिखा था।,पत्र,written_letter,morphological_ambiguity,Hindi,custom_annotated
141,पत्र पेड़ से गिर गए।,पत्र,leaf,morphological_ambiguity,Hindi,custom_annotated
142,हरे पत्र झड़ रहे हैं।,पत्र,leaf,morphological_ambiguity,Hindi,custom_annotated
143,नेता ने भाषण दिया।,नेता,politician,morphological_ambiguity,Hindi,custom_annotated
144,नेता जनता के लिए काम करता है।,नेता,leader,morphological_ambiguity,Hindi,custom_annotated
145,नेता का भरोसा नहीं होता।,नेता,politician_negative,morphological_ambiguity,Hindi,custom_annotated
146,उसके बाल लंबे हैं।,बाल,hair,morphological_ambiguity,Hindi,custom_annotated
147,बाल कटवाने जाना है।,बाल,hair,morphological_ambiguity,Hindi,custom_annotated
148,बाल में तेल लगाओ।,बाल,hair,morphological_ambiguity,Hindi,custom_annotated
149,बाल मन बहुत कोमल होता है।,बाल,child,morphological_ambiguity,Hindi,custom_annotated
150,बाल साहित्य बच्चों के लिए होता है।,बाल,child_related,morphological_ambiguity,Hindi,custom_annotated
151,उसने आँखें मूँद लीं।,आँखें मूँद लीं,closed_eyes_literally,idiom_ambiguity,Hindi,custom_annotated
152,उसने आँखें मूँद कर हाँ कह दिया।,आँखें मूँद,blindly_agreed_idiom,idiom_ambiguity,Hindi,custom_annotated
153,वह हाथ धो बैठा।,हाथ धो बैठा,lost_everything_idiom,idiom_ambiguity,Hindi,custom_annotated
154,उसने हाथ धोए और खाना खाया।,हाथ धोए,washed_hands_literally,idiom_ambiguity,Hindi,custom_annotated
155,उसने नाक कटवा ली।,नाक कटवा ली,lost_honor_idiom,idiom_ambiguity,Hindi,custom_annotated
156,उसने नाक पर चोट लगाई।,नाक,nose_literally,idiom_ambiguity,Hindi,custom_annotated
157,वह पानी-पानी हो गया।,पानी-पानी,ashamed_idiom,idiom_ambiguity,Hindi,custom_annotated
158,उसने पानी पिया।,पानी,water_literally,idiom_ambiguity,Hindi,custom_annotated
159,उसने मुँह की खाई।,मुँह की खाई,suffered_defeat_idiom,idiom_ambiguity,Hindi,custom_annotated
160,उसने मुँह से खाया।,मुँह,mouth_literally,idiom_ambiguity,Hindi,custom_annotated
161,वह आसमान से गिरा।,आसमान से गिरा,fell_from_grace_idiom,idiom_ambiguity,Hindi,custom_annotated
162,वह पेड़ से गिरा।,गिरा,fell_literally,idiom_ambiguity,Hindi,custom_annotated
163,उसकी आँखें खुल गईं।,आँखें खुल गईं,realized_idiom,idiom_ambiguity,Hindi,custom_annotated
164,सुबह उसकी आँखें खुल गईं।,आँखें खुल गईं,woke_up_literally,idiom_ambiguity,Hindi,custom_annotated
165,उसने कान पकड़ लिए।,कान पकड़ लिए,apologized_idiom,idiom_ambiguity,Hindi,custom_annotated
166,उसने बच्चे के कान पकड़े।,कान पकड़े,grabbed_ears_literally,idiom_ambiguity,Hindi,custom_annotated
167,वह अपनी दुनिया में खोया था।,दुनिया में खोया,lost_in_thoughts_idiom,idiom_ambiguity,Hindi,custom_annotated
168,वह जंगल में खो गया।,खो गया,got_lost_literally,idiom_ambiguity,Hindi,custom_annotated
169,उसका दिल डूब गया।,दिल डूब गया,heartbroken_idiom,idiom_ambiguity,Hindi,custom_annotated
170,नाव पानी में डूब गई।,डूब गई,sank_literally,idiom_ambiguity,Hindi,custom_annotated
171,उसने सिर उठाया।,सिर उठाया,raised_head_pride_idiom,idiom_ambiguity,Hindi,custom_annotated
172,उसने ज़मीन से सिर उठाया।,सिर उठाया,lifted_head_literally,idiom_ambiguity,Hindi,custom_annotated
173,वह मिट्टी में मिल गया।,मिट्टी में मिल गया,destroyed_idiom,idiom_ambiguity,Hindi,custom_annotated
174,वह कीचड़ में गिरकर मिट्टी में मिल गया।,मिट्टी में मिल गया,fell_in_mud_literally,idiom_ambiguity,Hindi,custom_annotated
175,उसने रंग उड़ा दिया।,रंग उड़ा दिया,spoiled_mood_idiom,idiom_ambiguity,Hindi,custom_annotated
176,पानी से कपड़े का रंग उड़ गया।,रंग उड़ गया,color_faded_literally,idiom_ambiguity,Hindi,custom_annotated
177,वाह! तुमने तो कमाल कर दिया।,वाह,sarcastic_criticism,sarcasm_ambiguity,Hindi,custom_annotated
178,वाह! यह गाना सच में बहुत अच्छा है।,वाह,genuine_praise,sarcasm_ambiguity,Hindi,custom_annotated
179,बहुत होशियार हो तुम!,होशियार,sarcastic_foolish,sarcasm_ambiguity,Hindi,custom_annotated
180,वह बच्चा बहुत होशियार है।,होशियार,genuinely_smart,sarcasm_ambiguity,Hindi,custom_annotated
181,क्या शानदार काम किया है!,शानदार,sarcastic_bad_work,sarcasm_ambiguity,Hindi,custom_annotated
182,उसने शानदार प्रदर्शन किया।,शानदार,genuine_performance,sarcasm_ambiguity,Hindi,custom_annotated
183,बड़े महान हो तुम!,महान,sarcastic_insult,sarcasm_ambiguity,Hindi,custom_annotated
184,गाँधीजी महान इंसान थे।,महान,genuinely_great,sarcasm_ambiguity,Hindi,custom_annotated
185,"तुमने तो सब बर्बाद कर दिया, शाबाश!",शाबाश,sarcastic_blame,sarcasm_ambiguity,Hindi,custom_annotated
186,"शाबाश बेटा, तुमने अच्छा किया।",शाबाश,genuine_appreciation,sarcasm_ambiguity,Hindi,custom_annotated
187,"बहुत अक्लमंद हो तुम, एक काम भी नहीं होता।",अक्लमंद,sarcastic,sarcasm_ambiguity,Hindi,custom_annotated
188,वह बड़ा अक्लमंद इंसान है।,अक्लमंद,genuine_wise,sarcasm_ambiguity,Hindi,custom_annotated
189,"हाँ हाँ, तुम्हीं सबसे अच्छे हो।",अच्छे,sarcastic_irony,sarcasm_ambiguity,Hindi,custom_annotated
190,वह सच में बहुत अच्छा इंसान है।,अच्छा,genuine_good,sarcasm_ambiguity,Hindi,custom_annotated
191,"बहुत तेज़ हो तुम, घंटों में एक काम किया।",तेज़,sarcastic_slow,sarcasm_ambiguity,Hindi,custom_annotated
192,वह तेज़ धावक है।,तेज़,genuinely_fast,sarcasm_ambiguity,Hindi,custom_annotated
193,"इतनी मेहनत की, दो लाइन लिखी!",मेहनत,sarcastic_lazy,sarcasm_ambiguity,Hindi,custom_annotated
194,उसने बहुत मेहनत की परीक्षा में।,मेहनत,genuine_hardwork,sarcasm_ambiguity,Hindi,custom_annotated
195,क्या समझदारी दिखाई तुमने!,समझदारी,sarcastic_foolish_act,sarcasm_ambiguity,Hindi,custom_annotated
196,उसने समझदारी से काम लिया।,समझदारी,genuine_wisdom,sarcasm_ambiguity,Hindi,custom_annotated
197,यह project बहुत cool है।,cool,impressive,hinglish_ambiguity,Hindi,custom_annotated
198,बाहर बहुत cool है आज।,cool,cold_weather,hinglish_ambiguity,Hindi,custom_annotated
199,उसका attitude बहुत high है।,high,arrogant,hinglish_ambiguity,Hindi,custom_annotated
200,पहाड़ बहुत high था।,high,tall,hinglish_ambiguity,Hindi,custom_annotated
201,वह बहुत free है आजकल।,free,available,hinglish_ambiguity,Hindi,custom_annotated
202,यह app free में मिलती है।,free,no_cost,hinglish_ambiguity,Hindi,custom_annotated
203,उसका mood off है।,off,bad_mood,hinglish_ambiguity,Hindi,custom_annotated
204,बिजली off कर दो।,off,switch_off,hinglish_ambiguity,Hindi,custom_annotated
205,वह बहुत smart दिखता है।,smart,good_looking,hinglish_ambiguity,Hindi,custom_annotated
206,वह बहुत smart तरीके से बोला।,smart,clever,hinglish_ambiguity,Hindi,custom_annotated
207,उसका plan बहुत solid है।,solid,strong_plan,hinglish_ambiguity,Hindi,custom_annotated
